Loan_ID,Customer_ID,Product_Type,Loan_Amount,Loan_Start_Date,Loan_End_Date,Interest_Rate,Customer_Age,Customer_Location,Loan_Status,Repayment_Frequency,Late_Payments,Credit_Score,Repayment_History
L000001,C19987,Gold Loan,732944.64,2017-01-23 13:10:30,2020-01-23 13:10:30,10.31,48,Goa,Active,Quarterly,1,567,Good
L000002,C14789,Loan,404104.67,2015-08-13 13:10:30,2018-08-12 13:10:30,4.26,63,Goa,Defaulted,Yearly,4,786,Poor
L000003,C13687,Gold Loan,688453.48,2023-08-09 13:10:30,2030-08-07 13:10:30,4.96,26,Maharashtra,Closed,Yearly,2,757,Excellent
L000004,C17733,Microlending Loan,249579.34,2020-02-16 13:10:30,2028-02-14 13:10:30,10.47,45,Maharashtra,Active,Yearly,2,524,Good
L000005,C46634,Investment Insurance,405819.07,2016-11-02 13:10:30,2022-11-01 13:10:30,10.29,4,Delhi,Defaulted,Yearly,1,404,Poor
L000006,C23690,Mutual Fund,102782.26,2022-05-17 13:10:30,2032-05-14 13:10:30,6.67,35,Delhi,Closed,Monthly,2,646,Excellent
L000007,C29863,Mutual Fund,758050.26,2020-07-25 13:10:30,2025-07-24 13:10:30,3.06,36,Goa,Defaulted,Quarterly,5,719,Poor
L000008,C08500,Mutual Fund,404495.79,2020-12-12 13:10:30,2030-12-10 13:10:30,8.35,52,Delhi,Closed,Quarterly,4,423,Excellent
L000009,C26330,Loan,333512.18,2021-10-06 13:10:30,2028-10-04 13:10:30,12.28,39,Goa,Defaulted,Yearly,2,641,Poor
L000010,C41908,Mutual Fund,413931.68,2021-01-06 13:10:30,2029-01-04 13:10:30,11.37,19,Karnataka,Active,Monthly,5,509,Good
L000011,C31070,Mutual Fund,455513.73,2023-05-31 13:10:30,2029-05-29 13:10:30,11.55,43,Karnataka,Closed,Yearly,4,744,Excellent
L000012,C20442,Loan,466561.3,2017-06-08 13:10:30,2023-06-07 13:10:30,12.18,52,Maharashtra,Active,Monthly,4,712,Good
L000013,C04856,Loan,805339.85,2015-08-02 13:10:30,2019-08-01 13:10:30,8.9,27,Delhi,Active,Yearly,0,677,Good
L000014,C21639,Mutual Fund,347226.11,2020-07-23 13:10:30,2024-07-22 13:10:30,9.08,58,Goa,Defaulted,Yearly,3,577,Poor
L000015,C36534,Microlending Loan,483396.09,2023-01-15 13:10:30,2027-01-14 13:10:30,13.77,61,Maharashtra,Closed,Quarterly,3,731,Excellent
L000016,C04337,Microlending Loan,620396.79,2021-11-10 13:10:30,2030-11-08 13:10:30,11.9,49,Maharashtra,Closed,Monthly,3,607,Excellent
L000017,C48284,Mutual Fund,410527.6,2020-08-05 13:10:30,2029-08-03 13:10:30,12.7,18,Goa,Closed,Monthly,4,431,Excellent
L000018,C25062,Investment Insurance,402670.55,2024-07-09 13:10:30,2032-07-07 13:10:30,11.88,49,Maharashtra,Defaulted,Monthly,5,678,Poor
L000019,C34673,Gold Loan,596188.63,2022-12-21 13:10:30,2028-12-19 13:10:30,13.88,29,Delhi,Active,Quarterly,5,494,Good
L000020,C19074,Investment Insurance,826667.62,2018-04-02 13:10:30,2028-03-30 13:10:30,14.78,50,Delhi,Active,Quarterly,2,487,Good
L000021,C41618,Microlending Loan,244835.75,2023-06-23 13:10:30,2031-06-21 13:10:30,10.56,49,Delhi,Closed,Yearly,1,562,Excellent
L000022,C07234,Microlending Loan,329924.13,2022-02-14 13:10:30,2028-02-13 13:10:30,2.24,42,Delhi,Active,Yearly,5,689,Good
L000023,C23894,Gold Loan,136244.57,2023-10-28 13:10:30,2028-10-26 13:10:30,16.34,19,Delhi,Closed,Monthly,5,786,Excellent
L000024,C18770,Investment Insurance,446974.59,2015-02-15 13:10:30,2025-02-12 13:10:30,11.13,48,Karnataka,Active,Yearly,5,659,Good
L000025,C14783,Loan,535949.46,2021-11-03 13:10:30,2031-11-01 13:10:30,9.32,32,Goa,Closed,Yearly,2,523,Excellent
L000026,C08121,Investment Insurance,501088.49,2016-01-05 13:10:30,2019-01-04 13:10:30,9,42,Karnataka,Defaulted,Monthly,4,509,Poor
L000027,C23048,Microlending Loan,668697.9,2020-10-11 13:10:30,2026-10-10 13:10:30,11.27,28,Delhi,Closed,Yearly,4,561,Excellent
L000028,C03832,Microlending Loan,518693.13,2019-01-31 13:10:30,2027-01-29 13:10:30,5.49,49,Delhi,Defaulted,Monthly,5,762,Poor
L000029,C06623,Gold Loan,821797.94,2016-08-15 13:10:30,2019-08-15 13:10:30,11.5,35,Goa,Closed,Yearly,0,484,Excellent
L000030,C44881,Microlending Loan,604718.03,2019-11-30 13:10:30,2022-11-29 13:10:30,12.78,67,Goa,Defaulted,Yearly,3,506,Poor
L000031,C41785,Mutual Fund,325385.11,2019-10-28 13:10:30,2022-10-27 13:10:30,10.04,15,Delhi,Closed,Yearly,2,767,Excellent
L000032,C30531,Gold Loan,442056.84,2019-03-13 13:10:30,2023-03-12 13:10:30,12.55,38,Karnataka,Defaulted,Quarterly,2,501,Poor
L000033,C26344,Investment Insurance,956018.49,2022-12-19 13:10:30,2028-12-17 13:10:30,11.53,58,Maharashtra,Active,Monthly,4,706,Good
L000034,C21278,Loan,789976.66,2015-09-24 13:10:30,2021-09-22 13:10:30,10.05,57,Goa,Active,Yearly,0,597,Good
L000035,C01999,Gold Loan,83454.5,2018-04-07 13:10:30,2021-04-06 13:10:30,11.82,60,Goa,Defaulted,Monthly,1,577,Poor
L000036,C03069,Loan,358584.62,2015-10-19 13:10:30,2025-10-16 13:10:30,10.45,20,Goa,Active,Yearly,4,533,Good
L000037,C17304,Loan,631873.9,2015-04-06 13:10:30,2025-04-03 13:10:30,12.69,30,Maharashtra,Defaulted,Quarterly,5,550,Poor
L000038,C08525,Investment Insurance,398199.38,2018-05-14 13:10:30,2028-05-11 13:10:30,11.99,21,Delhi,Closed,Quarterly,2,340,Excellent
L000039,C02249,Microlending Loan,387021.72,2019-06-10 13:10:30,2026-06-08 13:10:30,10.08,36,Maharashtra,Active,Yearly,4,502,Good
L000040,C27477,Gold Loan,467130.37,2019-05-21 13:10:30,2023-05-20 13:10:30,6.66,43,Maharashtra,Active,Monthly,0,553,Good
L000041,C30995,Microlending Loan,758314.65,2023-09-15 13:10:30,2030-09-13 13:10:30,8.47,43,Goa,Active,Quarterly,0,589,Good
L000042,C39204,Microlending Loan,857850.12,2023-02-12 13:10:30,2029-02-10 13:10:30,11.27,39,Goa,Closed,Monthly,3,489,Excellent
L000043,C46274,Mutual Fund,232714.66,2018-01-19 13:10:30,2025-01-17 13:10:30,14.24,63,Maharashtra,Closed,Quarterly,5,457,Excellent
L000044,C07202,Microlending Loan,364678.08,2023-01-30 13:10:30,2033-01-27 13:10:30,12.51,45,Karnataka,Active,Yearly,4,715,Good
L000045,C09237,Mutual Fund,440936.43,2016-11-20 13:10:30,2025-11-18 13:10:30,11.85,61,Delhi,Closed,Yearly,2,597,Excellent
L000046,C01275,Investment Insurance,622860.53,2021-05-30 13:10:30,2024-05-29 13:10:30,10.51,26,Delhi,Active,Monthly,3,697,Good
L000047,C33553,Investment Insurance,517441.42,2022-12-06 13:10:30,2029-12-04 13:10:30,11.23,35,Goa,Defaulted,Monthly,5,657,Poor
L000048,C35717,Microlending Loan,338491.36,2022-01-23 13:10:30,2032-01-21 13:10:30,7.15,62,Goa,Defaulted,Quarterly,1,607,Poor
L000049,C20643,Mutual Fund,814091.63,2016-08-13 13:10:30,2024-08-11 13:10:30,13.17,18,Goa,Closed,Quarterly,1,576,Excellent
L000050,C13408,Gold Loan,637158.44,2015-11-30 13:10:30,2025-11-27 13:10:30,9.65,41,Goa,Defaulted,Yearly,5,609,Poor
L000051,C17231,Gold Loan,347339.51,2019-01-31 13:10:30,2029-01-28 13:10:30,8.51,35,Delhi,Active,Yearly,4,558,Good
L000052,C28014,Loan,415221.33,2020-09-01 13:10:30,2024-08-31 13:10:30,10.01,32,Karnataka,Defaulted,Monthly,0,599,Poor
L000053,C03923,Mutual Fund,344290.26,2024-09-21 13:10:30,2032-09-19 13:10:30,10.76,48,Karnataka,Active,Yearly,0,627,Good
L000054,C17281,Loan,540158.39,2015-09-27 13:10:30,2018-09-26 13:10:30,8.68,26,Delhi,Active,Yearly,4,592,Good
L000055,C33288,Gold Loan,786360.52,2016-06-20 13:10:30,2021-06-19 13:10:30,8.12,45,Karnataka,Active,Yearly,0,796,Good
L000056,C43376,Mutual Fund,526080.43,2017-12-28 13:10:30,2021-12-27 13:10:30,7.9,53,Goa,Defaulted,Yearly,3,598,Poor
L000057,C12562,Gold Loan,485516.59,2021-02-21 13:10:30,2030-02-19 13:10:30,8.54,32,Delhi,Active,Monthly,0,536,Good
L000058,C29364,Gold Loan,510211.66,2018-02-08 13:10:30,2025-02-06 13:10:30,0.88,10,Delhi,Closed,Quarterly,5,638,Excellent
L000059,C03739,Microlending Loan,530928.27,2023-04-28 13:10:30,2033-04-25 13:10:30,9.7,25,Goa,Active,Yearly,4,660,Good
L000060,C25710,Loan,241974.02,2017-03-15 13:10:30,2027-03-13 13:10:30,11.89,79,Karnataka,Defaulted,Yearly,1,353,Poor
L000061,C24750,Loan,635880.92,2017-11-14 13:10:30,2026-11-12 13:10:30,12.31,32,Karnataka,Defaulted,Monthly,4,668,Poor
L000062,C47402,Microlending Loan,438631.96,2020-01-19 13:10:30,2024-01-18 13:10:30,11.51,43,Maharashtra,Active,Monthly,4,589,Good
